Scenario,Arrow Source,Intersection Type,Figure Type,Int. ID 1,EB Road Name ,WB Road Name,SB Road Name,NB Road Name ,@image_light,NB1,@image_NB1.0,@image_NB1.1,@image_NB1.2,NB2,@image_NB2.0,@image_NB2.1,@image_NB2.2,NB3,@image_NB3.0,@image_NB3.1,@image_NB3.2,NB4,@image_NB4.0,@image_NB4.1,@image_NB4.2,NB5,@image_NB5.0,@image_NB5.1,@image_NB5.2,NB6,@image_NB6.0,@image_NB6.1,@image_NB6.2,@image_NB_sign,EB1,@image_EB1.0,@image_EB1.1,@image_EB1.2,EB2,@image_EB2.0,@image_EB2.1,@image_EB2.2,EB3,@image_EB3.0,@image_EB3.1,@image_EB3.2,EB4,@image_EB4.0,@image_EB4.1,@image_EB4.2,EB5,@image_EB5.0,@image_EB5.1,@image_EB5.2,EB6,@image_EB6.0,@image_EB6.1,@image_EB6.2,@image_EB_sign,WB1,@image_WB1.0,@image_WB1.1,@image_WB1.2,WB2,@image_WB2.0,@image_WB2.1,@image_WB2.2,WB3,@image_WB3.0,@image_WB3.1,@image_WB3.2,WB4,@image_WB4.0,@image_WB4.1,@image_WB4.2,WB5,@image_WB5.0,@image_WB5.1,@image_WB5.2,WB6,@image_WB6.0,@image_WB6.1,@image_WB6.2,@image_WB_sign,SB1,@image_SB1.0,@image_SB1.1,@image_SB1.2,SB2,@image_SB2.0,@image_SB2.1,@image_SB2.2,SB3,@image_SB3.0,@image_SB3.1,@image_SB3.2,SB4,@image_SB4.0,@image_SB4.1,@image_SB4.2,SB5,@image_SB5.0,@image_SB5.1,@image_SB5.2,SB6,@image_SB6.0,@image_SB6.1,@image_SB6.2,@image_SB_sign
No-Build Vol,Exist Geo,Normal,Volume,3,W Trinity Ln,W Trinity Ln,Monticello St,Apt Dwy,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_through_black.eps,,,(1) 2,\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_blue.eps,(2) 3,\arrows_left_black.eps,,,(1245) 772,\arrows_through_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,2 (6),\arrows_left_black.eps,,,694 (707),\arrows_through_black.eps,,,3 (10),\arrows_right_black.eps,,,,,,,,,,,,,,,,12 (3),\arrows_left_black.eps,,,0 (0),\arrows_through_black.eps,,,8 (2),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_blue.eps
No-Build Vol,Exist Geo,Normal,Volume,4,W Trinity Ln,W Trinity Ln,Site Dwy A,HMS East Dwy,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(0) 0,\arrows_left_black.eps,,,(1251) 786,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,0 (0),\arrows_left_black.eps,,,700 (713),\arrows_through_black.eps,,,0 (0),\arrows_right_black.eps,,,,,,,,,,,,,,,,0 (0),\arrows_left_black.eps,,,0 (0),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps
Dist,Build Geo,Normal,Distribution,1,W Trinity Ln,W Trinity Ln,Whites Creek Pk,BWC Dr,\signal_black.eps,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,15% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (15%),\arrows_through_black.eps,,,0% (15%),\arrows_right_black.eps,,,,,,,,,,,,,,,,15% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,
Dist,Build Geo,Normal,Distribution,2,W Trinity Ln,W Trinity Ln,Old Matthews Rd,HMS West Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,0% (0%),\arrows_left_black.eps,,,30% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (30%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
Dist,Build Geo,Normal,Distribution,3,W Trinity Ln,W Trinity Ln,Monticello St,Apt Dwy,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,0% (0%),\arrows_left_black.eps,,,0% (70%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,70% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
Dist,Build Geo,Normal,Distribution,4,W Trinity Ln,W Trinity Ln,Site Dwy A,HMS East Dwy,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,30% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,70% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (70%),\arrows_left_black.eps,,,0% (30%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps
Trips,Build Geo,Normal,Trips,1,W Trinity Ln,W Trinity Ln,Whites Creek Pk,BWC Dr,\signal_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,(3) 1,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,3 (2),\arrows_through_black.eps,,,3 (2),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,1 (3),\arrows_left_black.eps,,,,,,,,,,,,,,,,,,,,,,,
Trips,Build Geo,Normal,Trips,2,W Trinity Ln,W Trinity Ln,Old Matthews Rd,HMS West Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,(5) 2,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,5 (4),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Trips,Build Geo,Normal,Trips,3,W Trinity Ln,W Trinity Ln,Monticello St,Apt Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,(9) 12,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,6 (13),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Trips,Build Geo,Normal,Trips,4,W Trinity Ln,W Trinity Ln,Site Dwy A,HMS East Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(5) 2,\arrows_left_black.eps,,,,,,,,,,,,,,,,,,,,,,,,6 (13),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,,12 (9),\arrows_left_black.eps,,,5 (4),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps
Build Vol,Build Geo,Normal,Volume,1,W Trinity Ln,W Trinity Ln,Whites Creek Pk,BWC Dr,\signal_black.eps,(119) 38,\arrows_left_black.eps,,,(246) 64,\arrows_through_black.eps,,,(65) 33,\arrows_right_black.eps,,,,,,,,,,,,,,,,(52) 22,\arrows_left_black.eps,,,(925) 355,\arrows_through_black.eps,,,(115) 124,\arrows_right_black.eps,,,,,,,,,,,,,,,,99 (52),\arrows_left_black.eps,,,400 (368),\arrows_through_black.eps,,,165 (213),\arrows_right_black.eps,,,,,,,,,,,,,,,,303 (225),\arrows_left_black.eps,,,301 (125),\arrows_through_black.eps,,,24 (24),\arrows_right_black.eps,,,,,,,,,,,,,,,
Build Vol,Build Geo,Normal,Volume,2,W Trinity Ln,W Trinity Ln,Old Matthews Rd,HMS West Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,(63) 24,\arrows_left_black.eps,,,(1171) 697,\arrows_through_black.eps,,,(0) 6,\arrows_right_black.eps,,,,,,,,,,,,,,,,5 (1),\arrows_left_black.eps,,,646 (637),\arrows_through_black.eps,,,54 (79),\arrows_right_black.eps,,,,,,,,,,,,,,,,91 (85),\arrows_left_black.eps,,,0 (0),\arrows_through_black.eps,,,46 (37),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
Build Vol,Build Geo,Normal,Volume,3,W Trinity Ln,W Trinity Ln,Monticello St,Apt Dwy,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_through_black.eps,,,(1) 2,\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,(2) 3,\arrows_left_black.eps,,,(1254) 784,\arrows_through_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,2 (6),\arrows_left_black.eps,,,700 (720),\arrows_through_black.eps,,,3 (10),\arrows_right_black.eps,,,,,,,,,,,,,,,,12 (3),\arrows_left_black.eps,,,0 (0),\arrows_through_black.eps,,,8 (2),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
Build Vol,Build Geo,Normal,Volume,4,W Trinity Ln,W Trinity Ln,Site Dwy A,HMS East Dwy,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(5) 2,\arrows_left_black.eps,,,(1251) 786,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,0 (0),\arrows_left_black.eps,,,700 (713),\arrows_through_black.eps,,,6 (13),\arrows_right_black.eps,,,,,,,,,,,,,,,,12 (9),\arrows_left_black.eps,,,5 (4),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps
Build Geo,Build Geo,Normal,Lanes,1,W Trinity Ln,W Trinity Ln,Whites Creek Pk,BWC Dr,\signal_black.eps,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,
Build Geo,Build Geo,Normal,Lanes,2,W Trinity Ln,W Trinity Ln,Old Matthews Rd,HMS West Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,\stop_black.eps
Build Geo,Build Geo,Normal,Lanes,3,W Trinity Ln,W Trinity Ln,Monticello St,Apt Dwy,,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Build Geo,Build Geo,Normal,Lanes,4,W Trinity Ln,W Trinity Ln,Site Dwy A,HMS East Dwy,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_through_black.eps,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_blue.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_blue.eps,,,,\arrows_right_blue.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps
No-Build Geo,No-Build Geo,Normal,Lanes,1,W Trinity Ln,W Trinity Ln,Whites Creek Pk,BWC Dr,\signal_black.eps,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,
No-Build Geo,No-Build Geo,Normal,Lanes,2,W Trinity Ln,W Trinity Ln,Old Matthews Rd,HMS West Dwy,,,,,,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,\stop_blue.eps
No-Build Geo,No-Build Geo,Normal,Lanes,3,W Trinity Ln,W Trinity Ln,Monticello St,Apt Dwy,,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps
No-Build Geo,No-Build Geo,Normal,Lanes,4,W Trinity Ln,W Trinity Ln,Site Dwy A,HMS East Dwy,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_through_black.eps,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
